localdate,localhour,longitude,latitude,temperature_c,stdev_c,sensing_identifier,partition_0,gi,ui,mi,svf
2021-07-19,20,-84.7476768493652,39.215784072876,25.4,1.2,T,geotab-demo,25.279331752232142,24.065883091517858,0.0,0.5443131588345889
2021-07-19,20,-84.8177146911621,39.1484928131104,26.2,0.7,T,geotab-demo,19.481270926339285,18.449532645089285,0.0,0.9460181943340905
2021-07-19,20,-84.7991752624512,39.1799068450928,26.2,0.8,T,geotab-demo,26.574497767857142,18.52099609375,0.0,0.6830596233286141
2021-07-19,20,-84.7425270080566,39.2205905914307,26.9,0.6,T,geotab-demo,30.377685546875,13.214285714285714,0.0,0.6203516279140765
2021-07-19,20,-84.8046684265137,39.1678905487061,26.1,0.7,T,geotab-demo,19.901192801339285,21.438162667410715,0.0,0.8364663508148433
2021-07-19,20,-84.5626258850098,39.091157913208,25.8,1.7,T,geotab-demo,12.236467633928571,28.977155412946427,0.0,0.7980198442735583
2021-07-19,20,-84.671459197998,39.1967296600342,26.6,2.8,T,geotab-demo,28.877511160714285,15.477713448660714,0.0,0.6977367175436507
2021-07-19,20,-84.4462394714355,39.1632556915283,28.7,3.9,T,geotab-demo,12.009207589285714,32.71494838169643,0.0,0.5175806678936407
2021-07-19,20,-84.4246101379395,39.1661739349365,26.3,1.1,T,geotab-demo,5.365897042410714,39.87489536830357,0.0,0.48912868888964944
2021-07-19,20,-84.418773651123,39.1635990142822,30.9,2.6,T,geotab-demo,23.319789341517858,23.341238839285715,0.0,0.6752445965317246
2021-07-19,20,-84.5677757263184,39.2228221893311,25.0,0.0,T,geotab-demo,21.430140904017858,21.203578404017858,0.0,0.8100878465788295
2021-07-19,20,-84.4493293762207,39.2109775543213,26.1,1.8,T,geotab-demo,11.854596819196429,26.890450613839285,0.0,0.9473923523410713
2021-07-19,20,-84.4414329528809,39.2772388458252,27.9,1.8,T,geotab-demo,7.325544084821429,31.550641741071427,0.0,0.9615398094730302
2021-07-19,20,-84.4397163391113,39.2665958404541,27.7,1.6,T,geotab-demo,8.291678292410714,27.795235770089285,0.0,0.9032655142086984
2021-07-19,20,-84.4757652282715,39.2952632904053,26.6,1.2,T,geotab-demo,8.360595703125,32.22694614955357,0.0,0.8469977376874279
2021-07-19,20,-84.4644355773926,39.3150043487549,26.5,2.4,T,geotab-demo,10.822474888392858,25.661307198660715,0.0,0.9208948486756241
2021-07-19,20,-84.441089630127,39.2942333221436,27.2,0.8,T,geotab-demo,9.300258091517858,30.263741629464285,0.0,0.928864128129189
2021-07-19,20,-84.4033241271973,39.2873668670654,26.5,1.1,T,geotab-demo,10.337576729910714,26.952357700892858,0.0,0.9128226549941902
2021-07-19,20,-84.3926811218262,39.2949199676514,27.9,0.2,T,geotab-demo,15.576206752232142,27.692836216517858,0.0,0.6316977748930974
2021-07-19,20,-84.4613456726074,39.3534564971924,26.6,1.2,T,geotab-demo,11.740129743303571,21.977748325892858,0.0,0.9493422618120196
2021-07-19,20,-84.3415260314941,39.05837059021,26.4,1.2,T,geotab-demo,21.802141462053573,27.222551618303573,0.0,0.6050353468713332
2021-07-19,20,-84.371395111084,39.2070293426514,26.9,1.1,T,geotab-demo,8.870291573660714,33.721888950892854,0.0,0.7077459122142401
2021-07-19,20,-84.3648719787598,39.252519607544,26.3,2.0,T,geotab-demo,9.778599330357142,33.301548549107146,0.0,0.691251716529675
2021-07-19,20,-84.3662452697754,39.2823886871338,26.3,0.9,T,geotab-demo,4.273332868303571,29.177699497767858,0.0,0.637904806563394
2021-07-19,20,-84.2673683166504,39.2142391204834,25.4,2.1,T,geotab-demo,20.454206194196427,25.828508649553573,0.0,0.63999907349687
2021-07-19,20,-84.2728614807129,39.3479633331299,26.3,1.4,T,geotab-demo,3.4148646763392856,20.991001674107142,0.0,0.8034475075389688
2021-07-19,20,-84.2471122741699,39.3735408782959,25.2,0.9,T,geotab-demo,11.147670200892858,28.253208705357142,0.0,0.9179373710855785
2021-07-19,20,-83.9175224304199,39.0406894683838,26.0,1.4,T,geotab-demo,25.738630022321427,20.844377790178573,0.0,0.6447957043813859
2021-07-19,20,-83.023509979248,38.9474773406982,24.5,0.6,T,geotab-demo,22.705357142857142,19.183977399553573,0.0,0.6931570773869613
2021-07-19,20,-83.0248832702637,38.9965724945068,24.9,0.7,T,geotab-demo,22.177490234375,14.722307477678571,0.0,0.6523672391318112
2021-07-19,20,-82.9819679260254,39.2041110992432,25.1,1.6,T,geotab-demo,19.810407366071427,24.643101283482142,0.0,0.6613483048951911
2021-07-19,20,-82.9236030578613,38.8679981231689,23.8,0.2,T,geotab-demo,0.0,0.0,0.0,0.0
2021-07-19,20,-82.9133033752441,38.8679981231689,23.9,0.3,T,geotab-demo,0.0,0.0,0.0,0.0
2021-07-19,20,-82.4666404724121,38.9282512664795,23.6,2.4,T,geotab-demo,31.773577008928573,23.581124441964285,0.0,0.7268507671513517
2021-07-19,20,-82.5260353088379,38.9807796478272,23.6,0.5,T,geotab-demo,28.106968470982142,19.552908761160715,0.0,0.6269363213637643
2021-07-19,20,-82.7340888977051,39.1620540618896,23.9,0.5,T,geotab-demo,17.003941127232142,22.212576729910715,0.0,0.7713593637137166
2021-07-19,20,-82.8885841369629,39.2844486236572,24.2,1.8,T,geotab-demo,14.963413783482142,21.698207310267858,0.0,0.8189864009468221
2021-07-19,20,-82.939395904541,39.3222141265869,24.2,1.9,T,geotab-demo,14.508614676339286,20.741559709821427,0.0,0.9591615993626461
